"","brood_year","TagCode","hatchery","species_name","run_name","stock","psc_region","avg_weight","avg_length","first_release_date","LastRelDate","Ad_CWT","Unclipped_CWT","total_cwt_rel","release_site","release_year"
"103",2012,"090710","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",13.54,NA,2013-07-16,2013-07-16,31465,187,31652,"KLASKANINE R N FK","2013"
"104",2001,"093511","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",19.33,NA,2002-07-02,2002-07-02,24086,139,24225,"YOUNGS R & BAY","2002"
"105",2002,"093817","BIG CR HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",10.38,NA,2003-07-19,2003-07-19,26888,50,26938,"KLASKANINE R N FK","2003"
"106",2017,"091186","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.87,NA,2018-05-15,2018-05-16,462393,0,462393,"BIG CR (LWR COL R)","2018"
"107",2002,"093818","BIG CR HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",25.18,NA,2003-08-22,2003-09-03,27298,50,27348,"KLASKANINE R N FK","2003"
"108",2016,"637154","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",5.69,77,2017-06-12,2017-06-23,101605,163,101768,"GREEN R      26.0323","2017"
"109",2011,"090566","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.5,NA,2012-05-07,2012-05-07,224514,2005,226519,"BIG CR (LWR COL R)","2012"
"110",2019,"637617","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R HATCH  27.0002","LOCR",6.04,79,2020-06-09,2020-06-09,99235,1336,100571,"FALLERT CR   27.0017","2020"
"111",2017,"091226","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",22.7,NA,2018-10-02,2018-10-02,50103,0,50103,"TANNER CR (BNVILLE)","2018"
"112",2010,"090437","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.65,NA,2011-05-16,2011-05-17,229462,0,229462,"BIG CR (LWR COL R)","2011"
"113",2016,"091012","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.84,NA,2017-05-19,2017-05-20,452517,0,452517,"BIG CR (LWR COL R)","2017"
"114",2012,"636465",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.45,NA,2013-07-07,2013-07-28,34087,0,34087,"LEWIS R -NF  27.0168","2013"
"115",2011,"090584","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",21.42,NA,2012-06-29,2012-06-29,31099,113,31212,"YOUNGS R & BAY","2012"
"116",2019,"637418","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",6.09,NA,2020-06-17,2020-06-17,199645,0,199645,"TANNER CR (BNVILLE)","2020"
